  -1.6920989155348142E+12  8.3144726256894693E+22 -1.8168160312100792E+09 -8.3144726198935992E+34 -1.2471714183477567E+05  8.3144726169959793E+19  0.0000000000000000E+00  4.4500755027488396E+07 -8.2485881243638733E+18
  -1.6729541348091318E+12  6.6044203646193259E+22 -1.7976712505069070E+09 -5.2460775650013401E+34 -1.2471714182352011E+05  6.6044203559256326E+19  0.0000000000000000E+00  4.1958059095523141E+07  4.8955775834322524E+18
  -1.6538093540795627E+12  5.2460775707972106E+22 -1.7785264698056767E+09 -3.3100511693503575E+34 -1.2471714180935035E+05  5.2460775621033198E+19 -3.3100511676162202E+31  4.1745667497802310E+07  1.0072968003300493E+18
  -1.6346645733451062E+12  4.1671075372300375E+22 -1.7593816891068971E+09 -2.0885010959068536E+34 -1.2471714179151249E+05  4.1671075285363065E+19 -2.0885010923356962E+31  4.4789593658257000E+07 -4.1029053155802629E+18
  -1.6155197926044871E+12  3.3100511751462319E+22 -1.7402369084111924E+09 -1.3177551054173615E+34 -1.2471714176905493E+05  3.3100511664523706E+19 -1.3177551067920530E+31  4.4325461128398798E+07  1.0215682851603800E+18
  -1.5963750118561194E+12  2.6292671079929931E+22 -1.7210921277193687E+09 -8.3144726198935794E+33 -1.2471714174078261E+05  2.6292670992992240E+19 -8.3144726123521854E+30  4.3389587629680552E+07 -5.8066647376543206E+17
  -1.5772302310979849E+12  2.0885011017027377E+22 -1.7019473470324185E+09 -5.2460775650013131E+33 -1.2471714170519038E+05  2.0885010930088411E+19 -5.2460775685167146E+30  4.3983121228274338E+07  2.9108214988416140E+16
  -1.5580854503275713E+12  1.6589553945273086E+22 -1.6828025663516214E+09 -3.3100511693503736E+33 -1.2471714166038290E+05  1.6589553858335343E+19 -3.3100511698113075E+30  4.3588848704371400E+07  4.6859221174593683E+17
  -1.5389406695416826E+12  1.3177551112132446E+22 -1.6636577856785522E+09 -2.0885010959068513E+33 -1.2471714160397259E+05  1.3177551025194303E+19 -2.0885010979730430E+30  4.3259233271682300E+07 -3.0219735512013453E+17
  -1.5197958887363201E+12  1.0467300924809659E+22 -1.6445130050152214E+09 -1.3177551054173617E+33 -1.2471714153295668E+05  1.0467300837871419E+19 -1.3177551033056497E+30  4.4252702640620708E+07 -4.0543175736891305E+15
