# where T1/2 is the beta-decay half-life in seconds
# from http://t2.lanl.gov/nis/data/astro/molnix96/tbeta.html
# direct link: http://t2.lanl.gov/nis/data/astro/molnix96/bethlp.dat
#   Z    N T1/2
   31   37 6.93147E+09
   31   39 6.93147E+09
   32   23 1.98528E-03
   32   24 9.64368E-03
   32   25 5.46196E-03
   32   26 1.92637E-02
   32   27 1.47820E-02
   32   28 8.19822E-02
   32   29 6.17627E-02
   32   30 8.68412E-01
   32   31 3.47598E-01
   32   32 8.08837E+01
   32   33 8.92266E+00
   32   34 2.25035E+04
   32   35 3.02252E+02
   32   36 6.93147E+09
   32   37 8.36941E+03
   32   39 6.93147E+09
   33   24 2.75191E-03
   33   25 2.40535E-03
   33   26 6.58536E-03
   33   27 8.29878E-03
   33   28 1.65827E-02
   33   29 2.59006E-02
   33   30 9.20651E-02
   33   31 7.35459E-02
   33   32 6.30319E-01
   33   33 1.83478E+00
   33   34 1.23423E+01
   33   35 3.80267E+01
   33   36 2.11219E+02
   33   37 2.27699E+01
   33   38 1.32523E+04
   33   39 7.60576E+02
   33   40 6.11472E+06
   33   41 6.93147E+09
   33   43 6.93147E+09
   34   25 2.04932E-03
   34   26 7.21026E-03
   34   27 7.03403E-03
   34   28 2.38399E-02
   34   29 1.69855E-02
   34   30 9.16738E-02
   34   31 4.27336E-02
   34   32 6.48616E-01
   34   33 3.66470E-01
   34   34 4.23224E+01
   34   35 3.80055E+00
   34   36 4.18966E+03
   34   37 8.72285E+01
   34   38 2.25827E+06
   34   39 4.86759E+03
   34   41 3.73272E+05
   35   26 3.96392E-03
   35   27 2.79243E-03
   35   28 9.82597E-03
   35   29 9.40483E-03
   35   30 2.29823E-02
   35   31 2.09924E-02
   35   32 4.42803E-02
   35   33 3.95339E-02
   35   34 2.02125E-01
   35   35 1.96969E-01
   35   36 2.38805E+00
   35   37 1.32936E+00
   35   38 2.36567E+01
   35   39 3.29884E+02
   35   40 4.86173E+02
   35   41 5.41983E+01
   35   42 3.50421E+04
   35   43 1.52798E+06
   35   45 6.93147E+09
   35   47 6.93147E+09
   36   27 2.31023E-03
   36   28 9.03798E-03
   36   29 8.18026E-03
   36   30 2.70835E-02
   36   31 2.14511E-02
   36   32 7.26483E-02
   36   33 3.32060E-02
   36   34 3.90170E-01
   36   35 1.64993E-01
   36   36 1.18982E+01
   36   37 3.63947E+00
   36   38 1.27017E+03
   36   39 5.80142E+01
   36   40 7.92998E+04
   36   41 8.23752E+02
   36   43 1.06766E+05
   36   45 6.93147E+09
   37   29 3.27731E-03
   37   30 7.10335E-03
   37   31 5.55224E-03
   37   32 1.31877E-02
   37   33 1.22615E-02
   37   34 3.46903E-02
   37   35 2.63490E-02
   37   36 2.85339E-01
   37   37 6.99399E-01
   37   38 3.64403E+00
   37   39 4.40445E+00
   37   40 2.49441E+01
   37   41 6.65642E+01
   37   42 5.26812E+02
   37   43 3.26562E+03
   37   44 3.63472E+05
   37   45 5.54686E+07
   37   46 6.93147E+09
   37   47 6.93147E+09
   37   49 6.93147E+09
   38   30 7.99225E-03
   38   31 6.51483E-03
   38   32 1.59134E-02
   38   33 1.39703E-02
   38   34 5.64143E-02
   38   35 4.39991E-02
   38   36 3.85560E-01
   38   37 1.96754E-01
   38   38 9.48200E+00
   38   39 3.59575E+00
   38   40 4.12083E+02
   38   41 4.42488E+02
   38   42 1.18561E+04
   38   43 2.69182E+02
   38   44 6.93147E+09
   38   45 1.45181E+04
   38   47 9.63516E+05
   39   31 3.53786E-03
   39   32 8.13030E-03
   39   33 6.64628E-03
   39   34 1.66851E-02
   39   35 1.58964E-02
   39   36 3.86390E-02
   39   37 3.78148E-02
   39   38 1.90284E-01
   39   39 2.14933E-01
   39   40 2.44866E+00
   39   41 4.61017E+01
   39   42 3.33932E+01
   39   43 8.50288E+01
   39   44 3.54856E+02
   39   45 2.20965E+03
   39   46 1.66901E+04
   39   47 4.91636E+04
   39   48 7.15429E+06
   39   49 6.93147E+09
   40   32 7.30668E-03
   40   33 7.22511E-03
   40   34 1.84140E-02
   40   35 1.68273E-02
   40   36 5.25308E-02
   40   37 2.93672E-02
   40   38 2.61009E-01
   40   39 1.64815E-01
   40   40 6.85108E+00
   40   41 4.27921E+00
   40   42 1.52880E+02
   40   43 9.96425E+00
   40   44 9.55524E+02
   40   45 5.33605E+01
   40   46 5.90487E+04
   40   47 4.80275E+02
   40   48 9.47108E+07
   40   49 6.66519E+03
   41   33 2.83380E-03
   41   34 4.95080E-03
   41   35 6.50543E-03
   41   36 1.17469E-02
   41   37 1.01216E-02
   41   38 3.57415E-02
   41   39 4.09132E-02
   41   40 2.10017E-01
   41   41 6.63398E-01
   41   42 1.54402E+00
   41   43 2.15244E-01
   41   44 4.29364E+00
   41   45 3.13499E+00
   41   46 1.98254E+01
   41   47 3.80107E+01
   41   48 1.92339E+02
   41   49 2.66902E+03
   41   50 1.15387E+05
   41   51 5.06151E+04
   41   53 1.74589E+06
   42   35 4.14230E-03
   42   36 6.93521E-03
   42   37 5.01568E-03
   42   38 4.78743E-02
   42   39 3.17210E-02
   42   40 6.64902E-02
   42   41 8.82200E-02
   42   42 1.06592E+00
   42   43 3.68460E-01
   42   44 8.37342E+00
   42   45 3.36242E+00
   42   46 1.51864E+02
   42   47 1.53835E+01
   42   48 1.43008E+04
   42   49 1.16753E+02
   42   51 4.96450E+06
   43   36 5.99537E-03
   43   37 3.47467E-03
   43   38 6.90345E-03
   43   39 9.72152E-03
   43   40 2.57486E-02
   43   41 3.83557E-02
   43   42 6.98799E-02
   43   43 8.83478E-02
   43   44 3.37852E-01
   43   45 2.73423E-01
   43   46 1.59269E+00
   43   47 2.98485E+00
   43   48 1.64354E+01
   43   49 5.96744E+01
   43   50 6.93790E+02
   43   51 1.27146E+03
   43   52 5.59623E+03
   43   53 1.50073E+04
   43   54 6.93147E+09
   43   55 7.69992E+03
   43   57 1.32424E+06
   44   37 4.52516E-03
   44   38 1.16521E-02
   44   39 3.74281E-03
   44   40 1.09092E-02
   44   41 2.00894E-02
   44   42 8.63533E-02
   44   43 6.51248E-02
   44   44 7.27049E-01
   44   45 2.94403E-01
   44   46 5.10885E+00
   44   47 1.18713E+00
   44   48 1.42142E+02
   44   49 7.99557E+00
   44   50 9.60328E+04
   44   51 2.64103E+04
   44   53 1.61051E+05
   45   38 1.03298E-02
   45   39 4.61673E-03
   45   40 1.04693E-02
   45   41 1.00674E-02
   45   42 2.20892E-02
   45   43 1.79433E-02
   45   44 8.02387E-02
   45   45 8.31254E-02
   45   46 4.09783E-01
   45   47 3.47477E-01
   45   48 2.64560E+00
   45   49 4.72892E+00
   45   50 3.50071E+01
   45   51 1.70526E+02
   45   52 3.24536E+02
   45   53 7.82056E+01
   45   54 1.87666E+03
   45   55 2.90342E+02
   45   56 6.93147E+09
   45   57 6.93147E+09
   45   59 2.50183E+09
   46   40 8.67223E-03
   46   41 7.71831E-03
   46   42 1.95662E-02
   46   43 1.58606E-02
   46   44 6.82710E-02
   46   45 5.24581E-02
   46   46 5.46498E-01
   46   47 2.23840E-01
   46   48 6.43240E+00
   46   49 9.21032E-01
   46   50 6.06591E+02
   46   51 6.33761E+02
   46   52 1.03058E+04
   46   53 3.79817E+03
   46   54 4.60599E+06
   46   55 2.47643E+03
   46   57 3.52374E+05
   47   41 5.14751E-03
   47   42 1.06975E-02
   47   43 9.92304E-03
   47   44 2.45984E-02
   47   45 2.05127E-02
   47   46 9.41975E-02
   47   47 7.71067E-02
   47   48 6.51104E-01
   47   49 4.56820E-01
   47   50 8.44792E+00
   47   51 2.24299E+01
   47   52 3.06118E+01
   47   53 5.96807E+01
   47   54 9.58276E+01
   47   55 1.63566E+02
   47   56 8.09506E+02
   47   57 1.97806E+03
   47   58 4.59301E+03
   47   59 3.59476E+02
   47   61 6.93147E+09
   47   63 6.93147E+09
   48   42 8.02859E-03
   48   43 7.23762E-03
   48   44 2.02040E-02
   48   45 1.61151E-02
   48   46 7.31256E-02
   48   47 5.12323E-02
   48   48 8.37936E-01
   48   49 2.02860E-01
