# where T1/2 is the beta-decay half-life in seconds
# from http://t2.lanl.gov/nis/data/astro/molnix96/tbeta.html
# direct link: http://t2.lanl.gov/nis/data/astro/molnix96/bethlp.dat
#   Z    N T1/2
   67   81 1.22433E+00
   67   82 6.58116E+00
   67   83 9.23710E+00
   67   84 1.21728E+01
   67   85 1.92602E+01
   67   86 4.70080E+02
   67   87 8.42621E+01
   67   88 1.25306E+02
   67   89 1.39280E+02
   67   90 2.02448E+02
   67   91 2.52105E+02
   67   92 4.27649E+02
   67   93 7.35544E+02
   67   94 2.26012E+03
   67   95 4.44791E+02
   67   96 6.93147E+09
   67   97 6.93147E+09
   68   70 4.74174E-02
   68   71 6.48111E-02
   68   72 1.03683E-01
   68   73 1.41814E-01
   68   74 1.98167E-01
   68   75 2.67260E-01
   68   76 1.14571E+00
   68   77 4.41459E-01
   68   78 1.48347E+00
   68   79 1.08934E+00
   68   80 1.59248E+00
   68   81 8.33490E-01
   68   82 1.37077E+01
   68   83 1.94455E+01
   68   84 3.00859E+01
   68   85 1.81554E+01
   68   86 2.02771E+02
   68   87 4.29792E+01
   68   88 2.33472E+02
   68   89 8.16764E+02
   68   90 9.03801E+02
   68   91 4.76018E+03
   68   92 2.04709E+06
   68   93 4.45111E+03
   68   95 1.10763E+03
   68   97 6.24397E+08
   69   72 6.84564E-02
   69   73 8.54797E-02
   69   74 1.06621E-01
   69   75 1.42629E-01
   69   76 5.11692E-01
   69   77 2.20098E-01
   69   78 4.80717E-01
   69   79 5.31308E-01
   69   80 6.07520E-01
   69   81 4.48570E-01
   69   82 1.84614E+00
   69   83 2.85887E+00
   69   84 4.01339E+00
   69   85 7.97607E+00
   69   86 3.79022E+01
   69   87 8.03444E+00
   69   88 1.23048E+02
   69   89 2.66324E+02
   69   90 3.15376E+02
   69   91 2.67947E+02
   69   92 1.81021E+03
   69   93 9.63494E+02
   69   94 2.15612E+04
   69   95 3.39054E+02
   69   96 2.06718E+06
   69   97 4.51059E+06
   69   98 8.65119E+08
   69   99 6.93147E+09
   69  101 6.93147E+09
   70   73 5.59604E-02
   70   73 5.59604E-02
   70   74 6.71015E-02
   70   75 8.04999E-02
   70   76 1.38493E-01
   70   77 1.35018E-01
   70   78 3.70731E-01
   70   79 2.96410E-01
   70   80 5.31814E-01
   70   81 2.89651E-01
   70   82 2.03556E+00
   70   83 3.47805E+00
   70   84 4.33203E+00
   70   85 2.11599E+00
   70   86 1.97411E+01
   70   87 6.02703E+00
   70   88 2.71632E+01
   70   89 4.97164E+01
   70   90 7.84670E+01
   70   91 7.75097E+01
   70   92 2.05221E+02
   70   93 3.45015E+02
   70   94 1.19317E+03
   70   95 1.14386E+02
   70   96 6.93147E+09
   70   97 7.06802E+05
   70   99 3.14777E+05
   71   75 1.21364E-01
   71   76 6.68544E-02
   71   77 6.71807E-02
   71   78 1.60468E-01
   71   79 1.54980E-01
   71   80 2.20028E-01
   71   81 1.73330E-01
   71   82 6.71102E-01
   71   83 1.01865E+00
   71   84 1.69931E+00
   71   85 1.03142E+00
   71   86 2.72662E+00
   71   87 3.28183E+00
   71   88 1.80331E+01
   71   89 2.01139E+01
   71   90 4.49144E+01
   71   91 4.85913E+01
   71   92 1.18933E+02
   71   93 2.46737E+02
   71   94 4.45643E+02
   71   95 5.16807E+01
   71   96 1.24072E+02
   71   97 1.63321E+02
   71   98 2.42465E+02
   71   99 4.67564E+02
   71  100 5.77391E+02
   71  101 2.35425E+03
   71  102 2.94962E+03
   71  103 6.93147E+09
   71  105 5.09543E+05
   72   77 4.40042E-02
   72   78 1.25928E-01
   72   79 8.78310E-02
   72   80 1.66934E-01
   72   81 1.06171E-01
   72   82 4.79232E-01
   72   83 7.70946E-01
   72   84 1.23764E+00
   72   85 9.53928E-01
   72   86 1.93039E+00
   72   87 1.84682E+00
   72   88 6.09269E+00
   72   89 6.48111E+00
   72   90 1.42279E+01
   72   91 2.71407E+01
   72   92 3.56069E+01
   72   93 5.87009E+01
   72   94 8.62914E+01
   72   95 2.45108E+01
   72   96 6.46650E+02
   72   97 3.49770E+03
   72   98 2.25534E+04
   72   99 4.94124E+03
   72  100 9.55440E+06
   72  101 4.94091E+05
   72  103 6.93147E+09
   73   78 6.43263E-02
   73   79 5.51949E-02
   73   80 9.20772E-02
   73   81 6.65591E-02
   73   82 3.31431E-01
   73   83 3.49533E-01
   73   84 5.66355E-01
   73   85 6.10288E-01
   73   86 1.48322E+00
   73   87 1.37098E+00
   73   88 3.76350E+00
   73   89 3.13758E+00
   73   90 8.22012E+00
   73   91 4.72151E+00
   73   92 1.99558E+01
   73   93 8.06300E+00
   73   94 1.15649E+01
   73   95 1.61563E+01
   73   96 2.40513E+01
   73   97 3.47364E+01
   73   98 4.67167E+01
   73   99 2.21511E+03
   73  100 1.85427E+04
   73  101 2.31334E+04
   73  102 1.00567E+05
   73  103 1.36699E+05
   73  104 3.41350E+05
   73  105 3.84416E+07
   73  106 3.17770E+08
   73  107 2.23825E+06
   74   80 8.22369E-02
   74   81 4.15693E-02
   74   82 1.28601E-01
   74   83 2.09026E-01
   74   84 3.28705E-01
   74   85 3.73485E-01
   74   86 4.92691E-01
   74   87 5.95627E-01
   74   88 1.36627E+00
   74   89 1.85768E+00
   74   90 3.28611E+00
   74   91 2.19716E+00
   74   92 7.68155E+00
   74   93 1.43608E+01
   74   94 1.91796E+01
   74   95 2.95178E+01
   74   96 4.40832E+01
   74   97 7.10318E+01
   74   98 1.10053E+02
   74   99 1.33956E+02
   74  100 3.09149E+02
   74  101 4.63396E+02
   74  102 1.08068E+03
   74  103 4.07008E+03
   74  104 6.93147E+09
   74  105 6.56436E+02
   74  107 5.17268E+07
   75   81 3.20796E-02
   75   82 9.52671E-02
   75   83 1.24448E-01
   75   84 2.41196E-01
   75   85 3.32985E-01
   75   86 4.10118E-01
   75   87 3.69428E-01
   75   88 5.92173E-01
   75   89 7.53293E-01
   75   90 1.10646E+00
   75   91 6.64682E-01
   75   92 1.75609E+00
   75   93 3.03306E+00
   75   94 9.01775E+00
   75   95 1.55423E+01
   75   96 2.02333E+01
   75   97 3.64068E+01
   75   98 4.33141E+01
   75   99 8.16024E+01
   75  100 1.31708E+02
   75  101 2.59296E+02
   75  102 4.65318E+02
   75  103 8.84284E+02
   75  104 3.28387E+03
   75  105 1.68170E+02
   75  106 8.95634E+05
   75  107 1.95784E+06
   75  108 8.49747E+09
   75  109 6.93147E+09
   75  111 6.93147E+09
   76   83 8.51584E-02
   76   84 1.28729E-01
   76   85 1.66483E-01
   76   86 1.52868E-01
   76   87 2.25969E-01
   76   88 5.41223E-01
   76   89 5.38349E-01
   76   90 8.14535E-01
   76   91 8.13084E-01
   76   92 1.87259E+00
   76   93 2.96335E+00
   76   94 3.54886E+00
   76   95 6.23522E+00
   76   96 7.33009E+00
   76   97 1.27893E+01
   76   98 1.71409E+01
   76   99 1.92770E+01
   76  100 3.46707E+01
   76  101 5.06430E+01
   76  102 8.73749E+01
   76  103 1.30182E+02
   76  104 4.95920E+02
   76  105 4.77995E+01
   76  106 3.46800E+04
   76  107 3.00349E+05
   76  109 1.77758E+06
   77   85 1.51516E-01
   77   86 1.60680E-01
   77   87 1.42339E-01
   77   88 2.02765E-01
   77   89 2.43369E-01
   77   90 3.23454E-01
   77   91 3.58573E-01
   77   92 6.10508E-01
   77   93 7.98664E-01
   77   94 1.00643E+00
   77   95 1.65691E+00
   77   96 1.62962E+00
   77   97 2.30369E+00
   77   98 2.97156E+00
   77   99 1.12654E+01
   77  100 5.59104E+00
   77  101 2.73165E+01
   77  102 5.21736E+01
   77  103 6.56944E+01
   77  104 2.04817E+02
   77  105 2.34262E+01
   77  106 1.89637E+03
   77  107 1.97450E+04
   77  108 1.26822E+02
   77  109 1.21824E+02
   77  110 1.54163E+02
   77  111 4.33146E+02
   77  112 2.37049E+03
   77  113 6.27718E+03
   77  115 6.93147E+09
   78   87 1.07694E-01
   78   88 1.14631E-01
   78   89 1.20185E-01
   78   90 1.48775E-01
   78   91 2.55003E-01
   78   92 3.78829E-01
   78   93 7.94127E-01
   78   94 1.30374E+00
   78   95 1.88479E+00
   78   96 1.97955E+00
   78   97 3.95600E+00
   78   98 3.62184E+00
   78   99 4.49199E+00
   78  100 8.33337E+00
   78  101 8.23701E+00
   78  102 1.42502E+01
   78  103 1.88692E+01
   78  104 5.16380E+01
   78  105 9.81392E+00
   78  106 3.17475E+02
   78  107 7.71817E+02
   78  108 1.43516E+04
   78  109 2.68995E+03
   78  110 1.68602E+06
   78  111 6.29426E+05
   78  113 1.85039E+06
   78  115 2.97879E+10
   79   88 1.32549E-01
   79   89 1.48367E-01
   79   90 1.75261E-01
   79   91 2.72469E-01
   79   92 2.53138E-01
   79   93 2.66523E-01
   79   94 3.35975E-01
   79   95 3.06834E-01
   79   96 4.97928E-01
   79   97 1.04832E+00
   79   98 9.28531E-01
   79   99 1.92852E+00
   79  100 1.91112E+00
   79  101 1.44121E+00
   79  102 4.48565E+00
   79  103 2.12332E+00
   79  104 1.33030E+01
   79  105 3.66649E+01
   79  106 3.98934E+01
   79  107 1.54373E+02
   79  108 1.98276E+02
   79  109 1.43701E+03
   79  110 5.26471E+05
   79  111 4.49215E+04
   79  112 1.37826E+06
   79  113 4.59673E+05
   79  114 5.20518E+06
   79  115 2.73822E+06
   79  116 2.65331E+08
   79  117 5.90161E+06
   79  119 6.93147E+09
   80   90 1.18395E-01
   80   91 1.90153E-01
   80   92 2.01591E-01
   80   93 2.39584E-01
   80   94 3.48885E-01
   80   95 6.98813E-01
   80   96 6.50443E-01
   80   97 1.60659E+00
   80   98 1.16361E+00
   80   99 9.84149E-01
   80  100 2.32374E+00
   80  101 5.59312E+00
   80  102 5.36168E+00
   80  103 2.07361E+00
   80  104 1.38215E+01
   80  105 4.07520E+01
   80  106 4.03577E+01
   80  107 1.48969E+02
   80  108 2.32049E+02
   80  109 5.08312E+02
   80  110 2.96436E+03
   80  111 6.16022E+02
   80  112 6.83114E+05
   80  113 2.28896E+05
   80  114 6.93147E+09
   80  115 1.07558E+06
   80  117 8.21592E+06
   81   92 1.07240E-01
   81   93 1.23244E-01
   81   94 1.79185E-01
   81   95 3.61635E-01
   81   96 3.39387E-01
   81   97 3.10468E-01
   81   98 6.91104E-01
   81   99 4.66921E-01
   81  100 1.52545E+00
   81  101 3.88004E+00
   81  102 3.65258E+00
   81  103 9.60108E+00
   81  104 8.95557E+00
   81  105 2.95706E+01
   81  106 2.82596E+01
   81  107 1.16869E+02
   81  108 1.34278E+02
   81  109 1.20206E+03
   81  110 2.15290E+03
   81  111 9.02019E+04
   81  112 7.53973E+04
   81  113 9.91336E+05
   81  114 2.74920E+06
   81  115 2.75442E+05
   81  116 1.05590E+07
   81  117 6.01682E+05
   81  118 4.55555E+07
   81  119 2.07003E+09
   81  120 6.93147E+09
   81  121 6.93147E+09
   81  123 6.93147E+09
   82   93 8.22043E-02
   82   94 1.37997E-01
   82   95 1.42054E-01
   82   96 2.81471E-01
   82   97 4.82428E-01
   82   98 6.18826E-01
   82   99 3.72769E-01
   82  100 1.37703E+00
   82  101 3.89853E+00
   82  102 3.46614E+00
   82  103 9.20314E+00
   82  104 1.00292E+01
   82  105 2.25510E+01
   82  106 2.62945E+01
   82  107 7.60592E+01
   82  108 9.68300E+01
   82  109 2.65096E+02
   82  110 7.76985E+02
   82  111 8.14451E+02
   82  112 4.80451E+03
   82  113 2.21152E+03
   82  114 6.76667E+04
   82  115 3.44893E+04
   82  116 6.93147E+09
   82  117 6.17284E+03
   82  118 6.93147E+09
   82  119 3.94589E+04
   82  120 6.93147E+09
   82  121 2.44460E+09
   82  123 6.93147E+09
   83   95 7.26450E-02
   83   96 9.19625E-02
   83   97 1.37984E-01
   83   98 1.60910E-01
   83   99 1.54644E-01
   83  100 3.54943E-01
   83  101 8.09872E-01
   83  102 8.83498E-01
   83  103 2.09155E+00
   83  104 2.37381E+00
   83  105 5.38842E+00
   83  106 5.95009E+00
   83  107 1.42261E+01
   83  108 1.75409E+01
   83  109 3.82102E+01
   83  110 5.51928E+01
   83  111 1.16131E+02
   83  112 2.00141E+02
   83  113 3.47913E+02
   83  114 7.50407E+02
   83  115 1.04123E+03
   83  116 3.65490E+03
   83  117 7.46835E+02
   83  118 1.74288E+04
   83  119 5.33351E+04
   83  120 3.81185E+05
   83  121 2.51529E+05
   83  122 6.93147E+09
   83  123 2.79827E+07
   83  124 6.93147E+09
   83  125 6.93147E+09
   84   97 9.18250E-02
   84   98 1.78370E-01
   84   99 2.50580E-01
   84  100 4.33724E-01
   84  101 3.66610E-01
   84  102 6.65974E-01
   84  103 7.12709E-01
   84  104 1.03685E+00
   84  105 5.18218E-01
   84  106 1.58362E+00
   84  107 1.47685E+00
   84  108 6.12816E+00
   84  109 6.43269E+00
   84  110 2.34324E+01
   84  111 1.43612E+01
   84  112 3.95079E+01
   84  113 2.73832E+01
   84  114 7.96837E+01
   84  115 9.07183E+01
   84  116 1.84655E+02
   84  117 2.04463E+02
   84  118 5.01478E+02
   84  119 1.63713E+02
   84  120 2.20964E+03
   84  121 7.07406E+02
   84  122 1.31998E+04
   84  123 1.39318E+03
   84  124 1.89147E+06
   84  125 5.07582E+05
   85   99 9.37433E-02
   85  100 1.40884E-01
   85  101 1.46130E-01
   85  102 2.18132E-01
   85  103 3.83409E-01
   85  104 5.38056E-01
   85  105 3.29287E-01
   85  106 1.56902E+00
   85  107 1.91184E+00
   85  108 2.48581E+00
   85  109 3.65883E+00
   85  110 4.21545E+00
   85  111 5.18301E+00
   85  112 5.63046E+00
   85  113 6.04375E+00
   85  114 5.15309E+01
   85  115 3.88078E+01
   85  116 1.44523E+02
   85  117 7.31807E+01
   85  118 5.24613E+02
   85  119 4.96943E+02
   85  120 1.94573E+03
   85  121 7.58971E+02
   85  122 2.28624E+04
   85  123 2.41193E+03
   85  124 9.27356E+05
   85  125 3.59196E+05
   85  126 2.14170E+09
   85  127 6.93147E+09
   85  128 6.93147E+09
   85  129 6.93147E+09
   85  131 6.93147E+09
   86  100 9.75974E-02
   86  101 9.58007E-02
   86  102 1.59330E-01
   86  103 2.01778E-01
   86  104 3.01173E-01
   86  105 2.62095E-01
   86  106 5.42177E-01
   86  107 5.27423E-01
   86  108 1.31235E+00
   86  109 1.67750E+00
   86  110 2.52555E+00
   86  111 3.03744E+00
   86  112 4.54677E+00
   86  113 4.19373E+00
   86  114 6.31876E+00
   86  115 7.42891E+00
   86  116 4.59578E+01
   86  117 1.04064E+01
   86  118 1.14515E+02
   86  119 1.29925E+02
   86  120 2.74378E+02
   86  121 1.45921E+02
   86  122 1.13420E+03
   86  123 2.46151E+02
   86  124 8.91402E+03
   86  125 5.76981E+04
   86  127 1.58577E+08
   86  129 6.93147E+09
   87  102 8.84046E-02
   87  103 9.55944E-02
   87  104 1.63463E-01
   87  105 2.12528E-01
   87  106 2.73038E-01
   87  107 3.03969E-01
   87  108 3.24115E-01
   87  109 4.61780E-01
   87  110 6.27920E-01
   87  111 7.41225E-01
   87  112 1.07620E+00
   87  113 1.18686E+00
   87  114 1.87959E+00
   87  115 1.80926E+00
   87  116 2.66778E+00
   87  117 2.29057E+00
   87  118 5.57584E+00
   87  119 5.97144E+00
   87  120 8.14080E+00
   87  121 7.82304E+00
   87  122 5.76736E+02
   87  123 2.13305E+02
   87  124 4.85203E+03
   87  125 1.10412E+05
   87  126 4.34503E+06
   87  127 7.62043E+05
   87  128 9.71071E+08
   87  129 6.93147E+09
   87  130 6.93147E+09
   87  131 6.93147E+09
   87  133 6.93147E+09
   87  135 3.46575E+11
   88  104 1.10910E-01
   88  105 9.71660E-02
   88  106 2.07151E-01
   88  107 2.25634E-01
   88  108 3.11906E-01
   88  109 2.40076E-01
   88  110 7.16462E-01
   88  111 8.73069E-01
   88  112 1.14910E+00
   88  113 1.44386E+00
   88  114 1.96048E+00
   88  115 2.31188E+00
   88  116 3.57418E+00
   88  117 3.04222E+00
   88  118 9.83276E+00
   88  119 8.13262E+00
   88  120 2.38055E+01
   88  121 2.57711E+01
   88  122 1.52980E+02
   88  123 3.36425E+01
   88  124 1.03971E+03
   88  125 2.89894E+03
   88  126 6.93147E+09
   88  127 1.05223E+05
   88  128 6.93147E+09
   88  129 4.08761E+04
   88  131 1.04338E+04
   89  106 1.20511E-01
   89  107 1.42737E-01
   89  108 1.83116E-01
   89  109 2.55512E-01
   89  110 3.49767E-01
   89  111 5.21940E-01
   89  112 6.72095E-01
   89  113 6.89236E-01
   89  114 9.76038E-01
   89  115 1.29435E+00
   89  116 1.86427E+00
   89  117 1.74966E+00
   89  118 2.56074E+00
   89  119 2.70266E+00
   89  120 9.13666E+00
   89  121 1.12539E+01
   89  122 5.76299E+00
   89  123 3.69795E+00
   89  124 1.71350E+02
   89  125 1.92172E+03
   89  126 7.70774E+06
   89  127 5.86441E+04
   89  128 2.75931E+07
   89  129 1.51840E+04
   89  130 2.06620E+07
   89  131 7.59341E+02
   89  132 3.97542E+04
   89  133 2.02805E+04
   89  134 5.27620E+05
   89  135 9.46488E+05
   89  137 6.93147E+09
   90  108 1.15517E-01
   90  109 1.30981E-01
   90  110 2.97521E-01
   90  111 2.81754E-01
   90  112 3.87855E-01
   90  113 4.76594E-01
   90  114 6.51698E-01
   90  115 7.60292E-01
   90  116 1.11328E+00
   90  117 1.16109E+00
   90  118 1.97511E+00
   90  119 1.54461E+00
   90  120 2.69337E+00
   90  121 4.77647E+00
   90  122 1.50462E+01
   90  123 6.01265E+00
   90  124 1.94328E+01
   90  125 5.89735E+01
   90  126 1.85759E+03
   90  127 4.41246E+02
   90  128 3.69263E+02
   90  129 8.10374E+02
   90  130 3.11331E+03
   90  131 1.18984E+02
   90  132 3.60544E+03
   90  133 2.31866E+04
   90  135 1.06262E+06
   91  109 9.57223E-02
   91  110 1.93918E-01
   91  111 2.09683E-01
   91  112 2.53613E-01
   91  113 3.18870E-01
   91  114 3.77050E-01
   91  115 3.65452E-01
   91  116 7.23796E-01
   91  117 7.46227E-01
   91  118 1.22777E+00
   91  119 1.20222E+00
   91  120 1.76673E+00
   91  121 3.43145E+00
   91  122 6.08260E+00
   91  123 4.22291E+00
   91  124 2.69652E+00
   91  125 3.10818E+01
   91  126 9.71729E+01
   91  127 9.03500E+01
   91  128 1.76683E+02
   91  129 5.28219E+01
   91  130 2.11703E+01
   91  131 1.74360E+01
   91  132 5.66636E+01
   91  133 2.00294E+02
   91  134 3.10625E+02
   91  135 1.33731E+03
   91  136 2.31538E+03
   91  137 1.03929E+03
   91  138 8.22879E+04
   91  139 6.93147E+09
   91  141 2.13449E+05
   92  111 1.10858E-01
   92  112 1.55155E-01
   92  113 2.37863E-01
   92  114 3.39405E-01
   92  115 3.70366E-01
   92  116 5.56973E-01
   92  117 4.02522E-01
   92  118 6.76017E-01
   92  119 6.01052E-01
   92  120 9.18689E-01
   92  121 1.39310E+00
   92  122 2.76968E+00
   92  123 1.71822E+00
   92  124 4.05317E+00
   92  125 6.62003E+00
   92  126 1.66433E+01
   92  127 1.74016E+01
   92  128 5.74520E+01
   92  129 3.00914E+02
   92  130 1.12349E+01
   92  131 2.29498E+01
   92  132 1.30276E+02
   92  133 2.11926E+02
   92  134 5.98908E+02
   92  135 2.77095E+04
   92  136 2.74871E+04
   92  137 9.37744E+02
   92  139 9.94475E+10
   93  113 1.94974E-01
   93  114 2.50585E-01
   93  115 1.96625E-01
   93  116 2.74445E-01
   93  117 2.12120E-01
   93  118 5.45028E-01
   93  119 5.09605E-01
   93  120 6.74389E-01
   93  121 1.02458E+00
   93  122 8.62489E-01
   93  123 6.72172E-01
   93  124 2.33352E+00
   93  125 1.31421E+00
   93  126 3.86940E+00
   93  127 2.38375E+00
   93  128 4.34549E+00
   93  129 5.91494E+00
   93  130 1.73156E+01
   93  131 1.19541E+01
   93  132 9.63431E+00
   93  133 1.85896E+01
   93  134 2.46910E+01
   93  135 4.44974E+01
   93  136 5.04503E+01
   93  137 5.11309E+01
   93  138 1.50780E+02
   93  139 5.87802E+02
   93  140 1.24989E+03
   93  141 6.44721E+02
   93  142 1.52729E+06
   93  143 6.93147E+09
   93  145 6.93147E+09
   94  115 1.49716E-01
   94  116 2.24554E-01
   94  117 1.82296E-01
   94  118 3.02389E-01
   94  119 2.68434E-01
   94  120 3.55771E-01
   94  121 4.66812E-01
   94  122 8.38177E-01
   94  123 7.69928E-01
   94  124 1.13484E+00
   94  125 1.71893E+00
   94  126 3.33395E+00
   94  127 3.20705E+00
   94  128 4.73264E+00
   94  129 3.09825E+00
   94  130 5.97506E+00
   94  131 6.08360E+00
   94  132 1.94684E+01
   94  133 2.95557E+01
   94  134 4.73796E+01
   94  135 9.35705E+01
   94  136 1.42128E+02
   94  137 1.15541E+02
   94  138 9.55610E+02
   94  139 1.06255E+04
   94  140 1.26901E+04
   94  141 3.90332E+02
   94  143 1.03007E+07
   95  117 1.14415E-01
   95  118 1.52843E-01
   95  119 1.46038E-01
   95  120 1.81513E-01
   95  121 3.62585E-01
   95  122 6.10066E-01
   95  123 5.11024E-01
   95  124 6.76926E-01
   95  125 5.37581E-01
   95  126 1.26115E+00
   95  127 2.12617E+00
   95  128 6.71400E-01
   95  129 5.23830E-01
   95  130 1.53917E+00
   95  131 7.16306E+00
   95  132 1.03807E+01
   95  133 1.78457E+01
   95  134 2.41306E+01
   95  135 4.22921E+01
   95  136 5.94971E+01
   95  137 5.30344E+01
   95  138 2.22840E+02
   95  139 1.05885E+03
   95  140 3.29819E+03
   95  141 1.54431E+02
   95  142 3.66116E+04
   95  143 2.09618E+04
   95  144 2.63246E+05
   95  145 6.93147E+09
   95  147 6.93147E+09
   95  149 6.93147E+09
   96  119 1.29807E-01
   96  120 1.62887E-01
   96  121 1.84728E-01
   96  122 3.30058E-01
   96  123 2.64042E-01
   96  124 3.67169E-01
   96  125 5.63957E-01
   96  126 1.11917E+00
   96  127 9.62697E-01
   96  128 1.50922E+00
   96  129 5.33702E-01
   96  130 1.83640E+00
   96  131 1.40757E+00
   96  132 4.07715E+00
   96  133 6.19947E+00
   96  134 7.87947E+00
   96  135 1.25848E+01
   96  136 1.73174E+01
   96  137 1.77259E+01
   96  138 4.30442E+01
   96  139 1.10656E+02
   96  140 2.01922E+02
   96  141 2.97592E+01
   96  142 1.30584E+03
   96  143 4.90487E+04
   96  144 1.27849E+07
   96  145 1.67087E+07
   96  147 6.93147E+09
   97  121 1.49331E-01
   97  122 1.73883E-01
   97  123 1.51771E-01
   97  124 1.82719E-01
   97  125 4.09153E-01
   97  126 5.40024E-01
   97  127 5.92457E-01
   97  128 7.70894E-01
   97  129 4.01823E-01
   97  130 1.69010E+00
   97  131 2.81924E+00
   97  132 3.12044E+00
   97  133 4.10924E+00
   97  134 5.02609E+00
   97  135 8.03678E+00
   97  136 1.01052E+01
   97  137 1.10368E+01
   97  138 2.28485E+01
   97  139 5.17802E+01
   97  140 8.21114E+01
   97  141 1.68646E+01
   97  142 6.44659E+02
   97  143 4.94882E+03
   97  144 2.35031E+04
   97  145 2.06509E+04
   97  146 2.27246E+05
   97  147 2.18726E+04
   97  148 6.93147E+09
   97  149 6.93147E+09
   97  151 6.93147E+09
   98  123 1.20430E-01
   98  124 1.58101E-01
   98  125 2.02974E-01
   98  126 4.05051E-01
   98  127 2.74697E-01
   98  128 5.22674E-01
   98  129 2.31161E-01
   98  130 1.02809E+00
   98  131 1.42376E+00
   98  132 1.59153E+00
   98  133 2.21515E+00
   98  134 2.35034E+00
   98  135 3.25109E+00
   98  136 3.98782E+00
   98  137 4.80626E+00
   98  138 7.94326E+00
   98  139 1.49151E+01
   98  140 2.07204E+01
   98  141 5.61342E+00
   98  142 5.35514E+01
   98  143 1.77104E+02
   98  144 3.68860E+02
   98  145 7.59615E+02
   98  146 1.23724E+03
   98  147 6.08255E+02
   98  149 1.93875E+03
   99  125 1.15628E-01
   99  126 1.80701E-01
   99  127 1.48265E-01
   99  128 2.71515E-01
   99  129 1.40877E-01
   99  130 4.02201E-01
   99  131 5.26828E-01
   99  132 6.06089E-01
   99  133 7.55676E-01
   99  134 8.63767E-01
   99  135 1.09529E+00
   99  136 1.35470E+00
   99  137 1.95403E+00
   99  138 2.26967E+00
   99  139 3.84874E+00
   99  140 4.89947E+00
   99  141 8.06540E+00
   99  142 9.88636E+00
   99  143 1.65718E+01
   99  144 1.84580E+01
   99  145 1.62635E+02
   99  146 4.12009E+02
   99  147 2.70932E+02
   99  148 1.39746E+03
   99  149 2.58898E+02
   99  150 2.09120E+06
   99  151 6.93147E+09
   99  152 6.93147E+09
   99  153 6.93147E+09
   99  155 6.93147E+09
  100  126 1.64308E-01
  100  127 1.17712E-01
  100  128 2.10310E-01
  100  129 9.35160E-02
  100  130 3.93920E-01
  100  131 5.39217E-01
  100  132 6.70150E-01
  100  133 9.96557E-01
  100  134 1.03028E+00
  100  135 1.32039E+00
  100  136 1.51904E+00
  100  137 2.19202E+00
  100  138 2.63495E+00
  100  139 4.01003E+00
  100  140 5.23740E+00
  100  141 6.81648E+00
  100  142 8.91448E+00
  100  143 1.45267E+01
  100  144 1.55832E+01
  100  145 3.05368E+01
  100  146 4.80406E+01
  100  147 5.77479E+01
  100  148 1.09084E+02
  100  149 3.91576E+01
  100  150 3.71882E+03
  100  151 2.77656E+05
  100  153 1.80338E+05
  101  128 1.37693E-01
  101  129 6.45766E-02
  101  130 2.90180E-01
  101  131 3.94963E-01
  101  132 4.76911E-01
  101  133 3.26527E-01
  101  134 8.87020E-01
  101  135 1.12784E+00
  101  136 1.15390E+00
  101  137 5.94899E-01
  101  138 1.59621E+00
  101  139 2.92393E+00
  101  140 3.22877E+00
  101  141 4.55601E+00
  101  142 5.99707E+00
  101  143 9.07969E+00
  101  144 9.28677E+00
  101  145 1.30075E+01
  101  146 2.56822E+01
  101  147 3.24924E+01
  101  148 9.01148E+01
  101  149 2.20647E+01
  101  150 6.96226E+02
  101  151 4.06481E+04
  101  152 4.31257E+05
  101  153 1.24366E+04
  101  154 1.53929E+07
  101  155 6.93147E+09
  101  156 6.93147E+09
  101  157 6.93147E+09
  101  159 6.93147E+09
  101  161 6.93147E+09
  102  130 4.90834E-02
  102  131 1.56842E-01
  102  132 3.07903E-01
  102  133 4.95825E-01
  102  134 6.32898E-01
  102  135 7.92237E-01
  102  136 7.73555E-01
  102  137 3.80757E-01
  102  138 1.00172E+00
  102  139 1.37413E+00
  102  140 1.53720E+00
  102  141 1.96732E+00
  102  142 2.44840E+00
  102  143 3.51380E+00
  102  144 4.24070E+00
  102  145 4.92320E+00
  102  146 8.13636E+00
  102  147 1.13026E+01
  102  148 2.11220E+01
  102  149 6.19542E+00
  102  150 8.06124E+01
  102  151 4.28753E+02
  102  152 1.05732E+04
  102  153 9.02052E+02
  102  154 9.27172E+04
  102  155 6.93147E+09
  102  157 5.92592E+03
  103  132 1.27433E-01
  103  133 1.66363E-01
  103  134 1.83363E-01
  103  135 2.43492E-01
  103  136 2.73096E-01
  103  137 9.12419E-01
  103  138 3.34974E-01
  103  139 3.99562E-01
  103  140 4.47518E-01
  103  141 5.34225E-01
  103  142 6.18544E-01
  103  143 7.83094E-01
  103  144 9.26997E-01
  103  145 1.09521E+00
  103  146 1.49440E+00
  103  147 2.27177E+00
  103  148 3.16456E+00
  103  149 2.10734E+00
  103  150 8.53490E+00
  103  151 1.79787E+01
  103  152 3.69435E+01
  103  153 3.86044E+01
  103  154 8.41337E+01
  103  155 2.15889E+02
  103  156 1.87906E+02
  103  157 1.34371E+02
  103  158 1.17510E+03
  103  159 6.65652E+03
  103  160 3.73071E+04
  103  161 6.93147E+09
  103  163 6.93147E+09
  104  134 2.29646E-01
  104  135 3.24437E-01
  104  136 3.24067E-01
  104  137 4.27110E-01
  104  138 4.17493E-01
